
Clock type: WALL
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..solvers/ode/__init__.py:1 <module>  1      0.000021  0.004732  0.004732
..tributed/tensor/_api.py:1 <module>  1      0.000054  0.004715  0.004715
../inspect.py:2721 Parameter.__str__  550    0.001119  0.004703  0.000009
..ernal>:721 spec_from_file_location  860    0.002780  0.004686  0.000005
../utils/_config_module.py:175 visit  15/4   0.002231  0.004679  0.000312
../sympy/plotting/plot.py:1 <module>  1      0.000046  0.004655  0.004655
..sympy/logic/__init__.py:1 <module>  1      0.000013  0.004637  0.004637
..ting/pretty/__init__.py:1 <module>  1      0.000005  0.004623  0.004623
..py/polys/rootoftools.py:1 <module>  1      0.000038  0.004612  0.004612
..cial/gamma_functions.py:1 <module>  1      0.000037  0.004513  0.004513
..rd/sharding_spec/api.py:1 <module>  1      0.000037  0.004512  0.004512
..on3.10/dataclasses.py:663 _is_type  1131   0.002460  0.004482  0.000004
..:1190 OpOverloadPacket.__getattr__  100    0.000420  0.004467  0.000045
..ctions/special/hyper.py:1 <module>  1      0.000041  0.004388  0.004388
..y_shard/_fsdp_common.py:1 <module>  1      0.000032  0.004377  0.004377
..mains/algebraicfield.py:1 <module>  1      0.000017  0.004339  0.004339
../optim/optimizer.py:230 _to_scalar  2820   0.003348  0.004336  0.000002
..ensor/_ops/_math_ops.py:1 <module>  1      0.000140  0.004296  0.004296
..xternal>:1356 _path_importer_cache  1030   0.000847  0.004286  0.000004
..lementary/hyperbolic.py:1 <module>  1      0.000036  0.004284  0.004284
../torch/_dynamo/types.py:1 <module>  1      0.000030  0.004266  0.004266
..aclasses.py:824 _set_new_attribute  1272   0.001710  0.004264  0.000003
..ys/matrices/__init__.py:1 <module>  1      0.000005  0.004212  0.004212
..mpy/ntheory/__init__.py:1 <module>  1      0.000043  0.004211  0.004211
..ges/sympy/core/evalf.py:1 <module>  1      0.000051  0.004160  0.004160
../mpmath/libmp/libmpf.py:1 <module>  1      0.000119  0.004153  0.004153
../sympy/series/limits.py:1 <module>  1      0.000018  0.004139  0.004139
..9 SafeLoader.compose_sequence_node  13/5   0.000065  0.004119  0.000317
..dynamo/replay_record.py:1 <module>  1      0.000023  0.004110  0.004110
.._foreach_kernels_supported_devices  2820   0.002973  0.004109  0.000001
..tions.py:1324 make_opaque_unary_fn  14     0.000021  0.004096  0.000293
..ckages/mpmath/ctx_mp.py:1 <module>  1      0.000037  0.004016  0.004016
..ython3.10/typing.py:935 _is_dunder  4196   0.002427  0.003999  0.000001
../polyfills/itertools.py:1 <module>  1      0.000070  0.003974  0.003974
..e.py:560 create_script_module_impl  2      0.000244  0.003960  0.001980
..exporter/_type_utils.py:1 <module>  1      0.000048  0.003953  0.003953
..arse.py:165 SubPattern.__getitem__  6800   0.002810  0.003926  0.000001
..ipledispatch/utils.py:25 _toposort  89     0.001400  0.003913  0.000044
..tils/_pytree.py:751 _tuple_flatten  5640   0.003897  0.003897  0.000001
..ython3.10/genericpath.py:16 exists  923    0.000644  0.003863  0.000004
..ng.py:1188 _CallableType.copy_with  87     0.000216  0.003814  0.000044
..ython3.10/inspect.py:1705 _is_type  2725   0.001872  0.003811  0.000001
..guage/core.py:50 _tensor_member_fn  50     0.000436  0.003805  0.000076
..ch/jit/_trace.py:154 _clone_inputs  4      0.000035  0.003791  0.000948
..rch/cuda/memory.py:212 empty_cache  1      0.000007  0.003778  0.003778
..h/_dynamo/decorators.py:1 <module>  1      0.000126  0.003763  0.003763
.._.py:1710 Logger.getEffectiveLevel  2823   0.003755  0.003755  0.000001
..orch/autograd/function.py:665 _map  12/4   0.000053  0.003749  0.000312
../special/polynomials.py:1 <module>  1      0.000032  0.003746  0.003746
..inting/pretty/pretty.py:1 <module>  1      0.000039  0.003740  0.003740
../sympy/external/gmpy.py:1 <module>  1      0.000039  0.003732  0.003732
